"AdvisoryNumber","Date","Lat","Long","Wind","Pres","Movement","Type","Name","Received","Forecaster"
"9","07/12/2019 11:00","28.2","90.4","65","998","WNW at 5 MPH (290 deg)","Tropical Storm","Barry","07/12/2019 11:00","Beven"
"9A","07/12/2019 14:00","28.4","90.6","65","993","WNW at 5 MPH (290 deg)","Tropical Storm","Barry","07/12/2019 13:56","Beven"
"10","07/12/2019 17:00","28.7","90.9","65","993","WNW at 6 MPH (300 deg)","Tropical Storm","Barry","07/12/2019 16:48","Beven"
"10A","07/12/2019 20:00","28.5","90.9","65","993","WNW at 4 MPH (300 deg)","Tropical Storm","Barry","07/12/2019 20:03","Brown"
"11","07/12/2019 23:00","28.6","91.0","65","993","WNW at 3 MPH (300 deg)","Tropical Storm","Barry","07/12/2019 22:48","Brown"
"11A","07/13/2019 02:00","28.7","91.1","65","993","WNW at 3 MPH (300 deg)","Tropical Storm","Barry","07/13/2019 01:51","Cangialosi"
"12","07/13/2019 05:00","29.1","91.8","65","993","WNW at 5 MPH (300 deg)","Tropical Storm","Barry","07/13/2019 04:50","Cangialosi"
"12A","07/13/2019 08:00","29.3","91.9","70","991","NW at 5 MPH (305 deg)","Tropical Storm","Barry","07/13/2019 08:05","Beven"
"13","07/13/2019 11:00","29.6","92.0","75","993","NW at 6 MPH (310 deg)","Hurricane","Barry","07/13/2019 11:03","Beven"
"13A","07/13/2019 14:00","29.8","92.1","70","996","NW at 6 MPH (315 deg)","Tropical Storm","Barry","07/13/2019 13:50","Beven"
"14","07/13/2019 17:00","30.1","92.3","65","997","NNW at 7 MPH (330 deg)","Tropical Storm","Barry","07/13/2019 17:06","Beven"
"14A","07/13/2019 20:00","30.7","92.7","60","998","NNW at 8 MPH (335 deg)","Tropical Storm","Barry","07/13/2019 19:51","Brown"
"15","07/13/2019 23:00","31.0","93.0","50","1002","NNW at 8 MPH (340 deg)","Tropical Storm","Barry","07/13/2019 22:48","Brown"
"15A","07/14/2019 02:00","31.0","93.2","45","1004","NNW at 8 MPH (340 deg)","Tropical Storm","Barry","07/14/2019 02:03","Cangialosi"
"16","07/14/2019 05:00","31.4","93.4","45","1005","NNW at 8 MPH (335 deg)","Tropical Storm","Barry","07/14/2019 04:47","Cangialosi"
"16A","07/14/2019 08:00","31.4","93.4","45","1005","N at 6 MPH (360 deg)","Tropical Storm","Barry","07/14/2019 07:48","Stewart"
"17","07/14/2019 11:00","31.8","93.4","40","1006","N at 9 MPH (360 deg)","Tropical Storm","Barry","07/14/2019 10:50","Stewart"
"17A","07/14/2019 14:00","32.4","93.6","40","1007","NNW at 9 MPH (345 deg)","Tropical Storm","Barry","07/14/2019 13:51","Stewart"
"18","07/14/2019 17:00","32.8","93.6","35","1008","N at 9 MPH (360 deg)","Tropical Depression","BARRY","07/14/2019 16:51","Stewart"
"19","07/14/2019 23:00","33.5","93.5","30","1008","N at 12 MPH (360 deg)","Tropical Depression","BARRY","07/15/2019 00:33",""
"20","07/15/2019 05:00","34.4","93.5","25","1008","N at 9 MPH (360 deg)","Tropical Depression","BARRY","07/15/2019 05:05",""
"21","07/15/2019 11:00","35.1","93.4","25","1007","N at 12 MPH (10 deg)","Tropical Depression","BARRY","07/15/2019 10:48","Roth/pagano"
"22","07/15/2019 17:00","36.0","93.3","25","1008","NNE at 13 MPH (20 deg)","Post-Tropical Cyclone","Barry","07/15/2019 16:53",""
"23","07/15/2019 23:00","36.7","92.8","15","1009","NNE at 13 MPH (26 deg)","Post-Tropical Cyclone","Barry","07/15/2019 22:45",""
"24","07/16/2019 05:00","37.8","92.3","15","1011","NE at 14 MPH (50 deg)","Post-Tropical Cyclone","Barry","07/16/2019 04:57",""
"25","07/16/2019 11:00","39.0","91.3","15","1011","NE at 21 MPH (50 deg)","Post-Tropical Cyclone","Barry","07/16/2019 10:54","Lamers"
"26","07/16/2019 17:00","39.8","89.2","15","1011","ENE at 18 MPH (60 deg)","Post-Tropical Cyclone","Barry","07/16/2019 16:36","Bann"
"27","07/16/2019 23:00","40.5","87.5","15","1010","ENE at 21 MPH (70 deg)","Post-Tropical Cyclone","Barry","07/16/2019 23:03","Bann"
"28","07/17/2019 05:00","40.8","85.3","15","1010","ENE at 22 MPH (70 deg)","Post-Tropical Cyclone","Barry","07/17/2019 05:02",""
"29","07/17/2019 11:00","41.0","83.2","15","1011","E at 23 MPH (80 deg)","Post-Tropical Cyclone","Barry","07/17/2019 10:47","Lamers"
"30","07/17/2019 17:00","40.6","82.0","10","1012","E at 17 MPH (95 deg)","Post-Tropical Cyclone","Barry","07/17/2019 16:44","Bann"
